variable,estimate,lci,uci,type,group,est_ci,gender,cesd_ge3
age,68.7,68,69.4,Continuous,NA,"68.7 (68, 69.4)",Total,Total
hh_size,2.3,2.2,2.4,Continuous,NA,"2.3 (2.2, 2.4)",Total,Total
hh_children,3.3,3.2,3.4,Continuous,NA,"3.3 (3.2, 3.4)",Total,Total
lengthmar,37.1,35.9,38.2,Continuous,NA,"37.1 (35.9, 38.2)",Total,Total
bmi,31.8,31.5,32.1,Continuous,NA,"31.8 (31.5, 32.1)",Total,Total
height,1.7,1.7,1.7,Continuous,NA,"1.7 (1.7, 1.7)",Total,Total
weight,87.5,86.5,88.5,Continuous,NA,"87.5 (86.5, 88.5)",Total,Total
waistcircumference,110.3,109.6,111,Continuous,NA,"110.3 (109.6, 111)",Total,Total
adl_some6,0.8,0.7,0.9,Continuous,NA,"0.8 (0.7, 0.9)",Total,Total
iadl_some4,0.5,0.5,0.6,Continuous,NA,"0.5 (0.5, 0.6)",Total,Total
a1c_adj,7,6.9,7.1,Continuous,NA,"7 (6.9, 7.1)",Total,Total
sbp,133.1,131.9,134.3,Continuous,NA,"133.1 (131.9, 134.3)",Total,Total
dbp,77.6,76.8,78.4,Continuous,NA,"77.6 (76.8, 78.4)",Total,Total
tc_adj,183.6,181.2,186,Continuous,NA,"183.6 (181.2, 186)",Total,Total
hdl_adj,48.6,47.8,49.3,Continuous,NA,"48.6 (47.8, 49.3)",Total,Total
nonhdl_adj,136.2,134,138.4,Continuous,NA,"136.2 (134, 138.4)",Total,Total
nfalls,1.6,1.4,1.8,Continuous,NA,"1.6 (1.4, 1.8)",Total,Total
agediagnosed_dm,57.9,57.2,58.6,Continuous,NA,"57.9 (57.2, 58.6)",Total,Total
moderate_pa,1.7,1.6,1.8,Continuous,NA,"1.7 (1.6, 1.8)",Total,Total
vigorous_pa,0.6,0.6,0.7,Continuous,NA,"0.6 (0.6, 0.7)",Total,Total
polypharmacy,3.7,3.6,3.8,Continuous,NA,"3.7 (3.6, 3.8)",Total,Total
cesd,2.1,2,2.2,Continuous,NA,"2.1 (2, 2.2)",Total,Total
fu_age,68.8,67.6,70,Continuous,NA,"68.8 (67.6, 70)",Total,Total
medication_bp,73,70.4,75.5,Proportion,NA,"73 (70.4, 75.5)",Total,Total
medication_dm,83.7,81.7,85.6,Proportion,NA,"83.7 (81.7, 85.6)",Total,Total
rxdiabi,27.2,25.1,29.5,Proportion,NA,"27.2 (25.1, 29.5)",Total,Total
rxdiabo,70.8,68.4,73.1,Proportion,NA,"70.8 (68.4, 73.1)",Total,Total
rxstrok,4.9,4.1,5.8,Proportion,NA,"4.9 (4.1, 5.8)",Total,Total
rxangina,5.6,4.5,7,Proportion,NA,"5.6 (4.5, 7)",Total,Total
rxchf,8.7,7.5,10,Proportion,NA,"8.7 (7.5, 10)",Total,Total
rxarthr,29.5,27.7,31.4,Proportion,NA,"29.5 (27.7, 31.4)",Total,Total
rxlung,11,9.4,12.8,Proportion,NA,"11 (9.4, 12.8)",Total,Total
rxpsych,19.6,17.5,22,Proportion,NA,"19.6 (17.5, 22)",Total,Total
rxcancr,1.3,0.8,2,Proportion,NA,"1.3 (0.8, 2)",Total,Total
rxhrtat,3.9,2.9,5.1,Proportion,NA,"3.9 (2.9, 5.1)",Total,Total
rxheart,27.1,25,29.4,Proportion,NA,"27.1 (25, 29.4)",Total,Total
rxmemry,2.9,2.2,3.9,Proportion,NA,"2.9 (2.2, 3.9)",Total,Total
rxhchol,65.2,62.6,67.8,Proportion,NA,"65.2 (62.6, 67.8)",Total,Total
rxbreath,21.8,20.2,23.6,Proportion,NA,"21.8 (20.2, 23.6)",Total,Total
rxstomach,23.1,21.2,25.1,Proportion,NA,"23.1 (21.2, 25.1)",Total,Total
rxdepres,24.6,22.4,26.9,Proportion,NA,"24.6 (22.4, 26.9)",Total,Total
alcohol,38.6,35.9,41.4,Proportion,NA,"38.6 (35.9, 41.4)",Total,Total
diagnosed_bp,77.8,75.6,79.9,Proportion,NA,"77.8 (75.6, 79.9)",Total,Total
htn,84.8,83,86.5,Proportion,NA,"84.8 (83, 86.5)",Total,Total
alzh_demen,3.4,2.6,4.4,Proportion,NA,"3.4 (2.6, 4.4)",Total,Total
bmi_underweight,0.6,0.3,1.1,Proportion,NA,"0.6 (0.3, 1.1)",Total,Total
bmi_overweight,28.1,25.5,30.8,Proportion,NA,"28.1 (25.5, 30.8)",Total,Total
bmi_obese,58.1,55.5,60.5,Proportion,NA,"58.1 (55.5, 60.5)",Total,Total
fall_any,28.5,26.2,30.8,Proportion,NA,"28.5 (26.2, 30.8)",Total,Total
fall_injury,28.7,24.7,33,Proportion,NA,"28.7 (24.7, 33)",Total,Total
fracture_hip,4.4,3.5,5.4,Proportion,NA,"4.4 (3.5, 5.4)",Total,Total
control_a1c,70.2,67.3,72.9,Proportion,NA,"70.2 (67.3, 72.9)",Total,Total
control_bp,62.7,60,65.3,Proportion,NA,"62.7 (60, 65.3)",Total,Total
control_chol,46.2,43.2,49.1,Proportion,NA,"46.2 (43.2, 49.1)",Total,Total
control_joint,22.9,20.6,25.3,Proportion,NA,"22.9 (20.6, 25.3)",Total,Total
heavydrinker,5.2,4.3,6.3,Proportion,NA,"5.2 (4.3, 6.3)",Total,Total
vision_impairment,16.7,14.8,18.9,Proportion,NA,"16.7 (14.8, 18.9)",Total,Total
balance_impairment,26.1,23.5,28.9,Proportion,NA,"26.1 (23.5, 28.9)",Total,Total
married,54.9,52.2,57.5,Proportion,NA,"54.9 (52.2, 57.5)",Total,Total
cesd_ge3,32.5,30.3,34.9,Proportion,NA,"32.5 (30.3, 34.9)",Total,Total
cesd_ge5,17.8,15.9,19.9,Proportion,NA,"17.8 (15.9, 19.9)",Total,Total
cesd_ge6,12,10.3,13.9,Proportion,NA,"12 (10.3, 13.9)",Total,Total
age_category,40.5,37.5,43.6,Grouped,50_64,"40.5 (37.5, 43.6)",Total,Total
age_category,28.7,26.9,30.6,Grouped,65_74,"28.7 (26.9, 30.6)",Total,Total
age_category,21.5,19.5,23.6,Grouped,75_84,"21.5 (19.5, 23.6)",Total,Total
age_category,9.3,8,10.8,Grouped,85_over,"9.3 (8, 10.8)",Total,Total
bmi_category,0.6,0.3,1.1,Grouped,Underweight,"0.6 (0.3, 1.1)",Total,Total
bmi_category,13.3,11.7,15,Grouped,Normal,"13.3 (11.7, 15)",Total,Total
bmi_category,28.1,25.5,30.8,Grouped,Overweight,"28.1 (25.5, 30.8)",Total,Total
bmi_category,58.1,55.5,60.5,Grouped,Obese,"58.1 (55.5, 60.5)",Total,Total
education_h,28.3,25.2,31.6,Grouped,Less than lower secondary,"28.3 (25.2, 31.6)",Total,Total
education_h,16,13.9,18.5,Grouped,Tertiary,"16 (13.9, 18.5)",Total,Total
education_h,55.7,52.9,58.5,Grouped,Upper secondary and vocational training,"55.7 (52.9, 58.5)",Total,Total
hh_wealthquintile,34.2,31.8,36.7,Grouped,Lowest,"34.2 (31.8, 36.7)",Total,Total
hh_wealthquintile,25.5,22.5,28.8,Grouped,Low,"25.5 (22.5, 28.8)",Total,Total
hh_wealthquintile,17.7,15.7,20,Grouped,Medium,"17.7 (15.7, 20)",Total,Total
hh_wealthquintile,14.5,12.5,16.7,Grouped,High,"14.5 (12.5, 16.7)",Total,Total
hh_wealthquintile,8.1,6.3,10.4,Grouped,Highest,"8.1 (6.3, 10.4)",Total,Total
smoke,38.5,36.4,40.7,Grouped,Never,"38.5 (36.4, 40.7)",Total,Total
smoke,47.6,45.4,49.9,Grouped,Former,"47.6 (45.4, 49.9)",Total,Total
smoke,13.8,12,15.8,Grouped,Current,"13.8 (12, 15.8)",Total,Total
laborforce,19,16.8,21.4,Grouped,employed,"19 (16.8, 21.4)",Total,Total
laborforce,12.4,10.8,14.2,Grouped,other,"12.4 (10.8, 14.2)",Total,Total
laborforce,68.6,65.7,71.4,Grouped,retired,"68.6 (65.7, 71.4)",Total,Total
raceeth,13.1,10,16.9,Grouped,Hispanic,"13.1 (10, 16.9)",Total,Total
raceeth,15,12.9,17.4,Grouped,NH Black,"15 (12.9, 17.4)",Total,Total
raceeth,3.5,2.5,4.8,Grouped,NH Other,"3.5 (2.5, 4.8)",Total,Total
raceeth,68.4,64.5,72.2,Grouped,NH White,"68.4 (64.5, 72.2)",Total,Total
race,76.8,73.7,79.7,Grouped,1,"76.8 (73.7, 79.7)",Total,Total
race,15.3,13.2,17.8,Grouped,2,"15.3 (13.2, 17.8)",Total,Total
race,7.8,6.4,9.6,Grouped,3,"7.8 (6.4, 9.6)",Total,Total
ethnicity,87,83.1,90,Grouped,0,"87 (83.1, 90)",Total,Total
ethnicity,13,10,16.9,Grouped,1,"13 (10, 16.9)",Total,Total
age,68.9,68.1,69.8,Continuous,NA,"68.9 (68.1, 69.8)",Female,Total
hh_size,2.2,2.1,2.3,Continuous,NA,"2.2 (2.1, 2.3)",Female,Total
hh_children,3.3,3.1,3.4,Continuous,NA,"3.3 (3.1, 3.4)",Female,Total
lengthmar,38,36.1,39.9,Continuous,NA,"38 (36.1, 39.9)",Female,Total
bmi,32.6,32,33.1,Continuous,NA,"32.6 (32, 33.1)",Female,Total
height,1.6,1.6,1.6,Continuous,NA,"1.6 (1.6, 1.6)",Female,Total
weight,81.9,80.4,83.4,Continuous,NA,"81.9 (80.4, 83.4)",Female,Total
waistcircumference,108.1,106.8,109.4,Continuous,NA,"108.1 (106.8, 109.4)",Female,Total
adl_some6,1,0.9,1.1,Continuous,NA,"1 (0.9, 1.1)",Female,Total
iadl_some4,0.7,0.6,0.7,Continuous,NA,"0.7 (0.6, 0.7)",Female,Total
a1c_adj,7,6.8,7.1,Continuous,NA,"7 (6.8, 7.1)",Female,Total
sbp,132.5,130.9,134.1,Continuous,NA,"132.5 (130.9, 134.1)",Female,Total
dbp,78.3,77.3,79.3,Continuous,NA,"78.3 (77.3, 79.3)",Female,Total
tc_adj,187.6,184.3,190.9,Continuous,NA,"187.6 (184.3, 190.9)",Female,Total
hdl_adj,50.9,49.8,52,Continuous,NA,"50.9 (49.8, 52)",Female,Total
nonhdl_adj,137.7,134.3,141.2,Continuous,NA,"137.7 (134.3, 141.2)",Female,Total
nfalls,1.6,1.3,1.8,Continuous,NA,"1.6 (1.3, 1.8)",Female,Total
agediagnosed_dm,58.1,57.1,59,Continuous,NA,"58.1 (57.1, 59)",Female,Total
moderate_pa,1.5,1.4,1.7,Continuous,NA,"1.5 (1.4, 1.7)",Female,Total
vigorous_pa,0.4,0.4,0.5,Continuous,NA,"0.4 (0.4, 0.5)",Female,Total
polypharmacy,3.8,3.6,3.9,Continuous,NA,"3.8 (3.6, 3.9)",Female,Total
cesd,2.3,2.1,2.4,Continuous,NA,"2.3 (2.1, 2.4)",Female,Total
fu_age,68.2,66.9,69.6,Continuous,NA,"68.2 (66.9, 69.6)",Female,Total
age,68.5,67.6,69.4,Continuous,NA,"68.5 (67.6, 69.4)",Male,Total
hh_size,2.3,2.2,2.4,Continuous,NA,"2.3 (2.2, 2.4)",Male,Total
hh_children,3.3,3.2,3.5,Continuous,NA,"3.3 (3.2, 3.5)",Male,Total
lengthmar,36.5,35.1,38,Continuous,NA,"36.5 (35.1, 38)",Male,Total
bmi,31.1,30.7,31.4,Continuous,NA,"31.1 (30.7, 31.4)",Male,Total
height,1.7,1.7,1.7,Continuous,NA,"1.7 (1.7, 1.7)",Male,Total
weight,92.9,91.5,94.2,Continuous,NA,"92.9 (91.5, 94.2)",Male,Total
waistcircumference,112.4,111.1,113.6,Continuous,NA,"112.4 (111.1, 113.6)",Male,Total
adl_some6,0.6,0.5,0.7,Continuous,NA,"0.6 (0.5, 0.7)",Male,Total
iadl_some4,0.4,0.4,0.5,Continuous,NA,"0.4 (0.4, 0.5)",Male,Total
a1c_adj,7,6.9,7.2,Continuous,NA,"7 (6.9, 7.2)",Male,Total
sbp,133.6,132,135.3,Continuous,NA,"133.6 (132, 135.3)",Male,Total
dbp,76.9,76,77.9,Continuous,NA,"76.9 (76, 77.9)",Male,Total
tc_adj,179.7,176.7,182.7,Continuous,NA,"179.7 (176.7, 182.7)",Male,Total
hdl_adj,46.3,45.3,47.2,Continuous,NA,"46.3 (45.3, 47.2)",Male,Total
nonhdl_adj,134.6,131.8,137.5,Continuous,NA,"134.6 (131.8, 137.5)",Male,Total
nfalls,1.6,1.3,1.9,Continuous,NA,"1.6 (1.3, 1.9)",Male,Total
agediagnosed_dm,57.7,56.7,58.7,Continuous,NA,"57.7 (56.7, 58.7)",Male,Total
moderate_pa,1.9,1.8,2.1,Continuous,NA,"1.9 (1.8, 2.1)",Male,Total
vigorous_pa,0.8,0.7,0.9,Continuous,NA,"0.8 (0.7, 0.9)",Male,Total
polypharmacy,3.6,3.5,3.7,Continuous,NA,"3.6 (3.5, 3.7)",Male,Total
cesd,1.9,1.8,2.1,Continuous,NA,"1.9 (1.8, 2.1)",Male,Total
fu_age,69.4,67.8,71,Continuous,NA,"69.4 (67.8, 71)",Male,Total
medication_bp,76.3,73.1,79.2,Proportion,NA,"76.3 (73.1, 79.2)",Female,Total
medication_dm,82.6,79.5,85.3,Proportion,NA,"82.6 (79.5, 85.3)",Female,Total
rxdiabi,27.3,24.6,30.2,Proportion,NA,"27.3 (24.6, 30.2)",Female,Total
rxdiabo,68.9,65.4,72.2,Proportion,NA,"68.9 (65.4, 72.2)",Female,Total
rxstrok,3.8,2.8,5.3,Proportion,NA,"3.8 (2.8, 5.3)",Female,Total
rxangina,5.6,4.1,7.5,Proportion,NA,"5.6 (4.1, 7.5)",Female,Total
rxchf,9.3,7.5,11.4,Proportion,NA,"9.3 (7.5, 11.4)",Female,Total
rxarthr,35.1,31.9,38.5,Proportion,NA,"35.1 (31.9, 38.5)",Female,Total
rxlung,13.7,11.4,16.5,Proportion,NA,"13.7 (11.4, 16.5)",Female,Total
rxpsych,24.4,20.9,28.1,Proportion,NA,"24.4 (20.9, 28.1)",Female,Total
rxcancr,1,0.6,1.9,Proportion,NA,"1 (0.6, 1.9)",Female,Total
rxhrtat,3.5,2.5,4.9,Proportion,NA,"3.5 (2.5, 4.9)",Female,Total
rxheart,24.5,21.6,27.6,Proportion,NA,"24.5 (21.6, 27.6)",Female,Total
rxmemry,2.6,1.7,4,Proportion,NA,"2.6 (1.7, 4)",Female,Total
rxhchol,62.7,58.9,66.4,Proportion,NA,"62.7 (58.9, 66.4)",Female,Total
rxbreath,26.5,24,29.2,Proportion,NA,"26.5 (24, 29.2)",Female,Total
rxstomach,25.5,22.3,29.1,Proportion,NA,"25.5 (22.3, 29.1)",Female,Total
rxdepres,29,25.7,32.5,Proportion,NA,"29 (25.7, 32.5)",Female,Total
alcohol,27.3,24.2,30.7,Proportion,NA,"27.3 (24.2, 30.7)",Female,Total
diagnosed_bp,81.1,78.3,83.6,Proportion,NA,"81.1 (78.3, 83.6)",Female,Total
htn,86.7,84.3,88.8,Proportion,NA,"86.7 (84.3, 88.8)",Female,Total
alzh_demen,3.3,2.2,4.7,Proportion,NA,"3.3 (2.2, 4.7)",Female,Total
bmi_underweight,1,0.5,2.2,Proportion,NA,"1 (0.5, 2.2)",Female,Total
bmi_overweight,25.3,22.3,28.7,Proportion,NA,"25.3 (22.3, 28.7)",Female,Total
bmi_obese,60.2,56.7,63.6,Proportion,NA,"60.2 (56.7, 63.6)",Female,Total
fall_any,29.1,26.3,32,Proportion,NA,"29.1 (26.3, 32)",Female,Total
fall_injury,35.1,29.3,41.5,Proportion,NA,"35.1 (29.3, 41.5)",Female,Total
fracture_hip,6.1,4.8,7.7,Proportion,NA,"6.1 (4.8, 7.7)",Female,Total
control_a1c,71.5,68.2,74.6,Proportion,NA,"71.5 (68.2, 74.6)",Female,Total
control_bp,61.8,58.6,65,Proportion,NA,"61.8 (58.6, 65)",Female,Total
control_chol,47,43.5,50.5,Proportion,NA,"47 (43.5, 50.5)",Female,Total
control_joint,23.6,21.1,26.3,Proportion,NA,"23.6 (21.1, 26.3)",Female,Total
heavydrinker,3.5,2.4,5,Proportion,NA,"3.5 (2.4, 5)",Female,Total
vision_impairment,19.2,16.3,22.6,Proportion,NA,"19.2 (16.3, 22.6)",Female,Total
balance_impairment,26.3,22.9,29.9,Proportion,NA,"26.3 (22.9, 29.9)",Female,Total
married,39.7,36.7,42.7,Proportion,NA,"39.7 (36.7, 42.7)",Female,Total
