term,USA
Overall,"0.90 	 (0.75, 1.10)"
A1c + Overall,"0.98 	 (0.91, 1.06)"
BP + Overall,"0.98 	 (0.92, 1.05)"
Cholesterol + Overall,"1.00 	 (0.90, 1.11)"
Age < 65,"0.71 	 (0.50, 1.01)"
Age >= 65,"1.05 	 (0.87, 1.28)"
Male,"0.80 	 (0.59, 1.08)"
Female,"0.99 	 (0.78, 1.25)"
No Difficulty with IADL,"0.99 	 (0.82, 1.21)"
Difficulty with IADL,"0.69 	 (0.45, 1.06)"
ABC Uncontrolled,"0.83 	 (0.65, 1.06)"
ABC Controlled,"1.04 	 (0.81, 1.35)"
No Depression Medication,"0.83 	 (0.65, 1.06)"
Depression Medication,"1.07 	 (0.79, 1.47)"
No DM Medication,"0.88 	 (0.55, 1.43)"
DM Medication,"0.91 	 (0.74, 1.11)"
Duration < 10 years,"0.87 	 (0.69, 1.09)"
Duration >= 10 years,"0.97 	 (0.71, 1.33)"
A1c + Male,"0.97 	 (0.86, 1.11)"
A1c + Female,"0.99 	 (0.91, 1.08)"
BP + Male,"1.04 	 (0.94, 1.15)"
BP + Female,"0.95 	 (0.86, 1.03)"
Cholesterol + Male,"1.00 	 (0.85, 1.17)"
Cholesterol + Female,"1.00 	 (0.88, 1.13)"
A1c + A1c uncontrolled,"1.02 	 (0.81, 1.27)"
A1c + A1c controlled,"0.97 	 (0.91, 1.05)"
BP + BP uncontrolled,"0.93 	 (0.78, 1.12)"
BP + BP controlled,"1.00 	 (0.94, 1.07)"
Cholesterol + Cholesterol uncontrolled,"0.93 	 (0.79, 1.10)"
Cholesterol + Cholesterol controlled,"1.06 	 (0.93, 1.20)"
